Wed Jan 15 16:08:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Wed Jan 15 16:08:08 JST 2020: Connect with /127.0.0.1, ID: 10
Wed Jan 15 17:26:16 JST 2020: send msg: [addAction:say:うん、そうだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:16 JST 2020: send msg: [addAction:say:素材とか値段も考えて、もっとたくさん見て決めたいよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:16 JST 2020: send msg: [addAction:requestMessage:am;172616421] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:23 JST 2020: send msg: [172616421] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:23 JST 2020: send msg: [addAction:wait:500] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:23 JST 2020: send msg: [addAction:say:長いイヤリングは動きが華やかで人気らしいよ] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:23 JST 2020: send msg: [addAction:requestMessage:am;172623484] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:28 JST 2020: send msg: [172623484] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:28 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:28 JST 2020: send msg: [addAction:say:へー、長いイヤリングかあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:28 JST 2020: send msg: [addAction:requestMessage:am;172628172] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:29 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:26:29 JST 2020: send msg: [first] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:26:29 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:29 JST 2020: send msg: [first] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:29 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:29 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:29 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:29 JST 2020: send msg: [addAction:say:ねえ知ってる?] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:29 JST 2020: send msg: [addAction:requestMessage:am;172629645] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:31 JST 2020: send msg: [172629645] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:31 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:31 JST 2020: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:31 JST 2020: send msg: [addAction:requestMessage:am;172631556] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:33 JST 2020: send msg: [172631556] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:33 JST 2020: send msg: [addAction:say:イヤリングなどのジュエリーは、女性がもらってうれしいプレゼントランキングで] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:33 JST 2020: send msg: [addAction:requestMessage:am;172633204] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:35 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:26:35 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:26:35 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:35 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:35 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:35 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:35 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:35 JST 2020: send msg: [addAction:requestMessage:am;172635286] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:35 JST 2020: send msg: [addAction:say:キュートなイヤリングだね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:40 JST 2020: send msg: [172635286] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:40 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:38)
