Fri Nov 08 16:23:26 JST 2019: send msg: [162323322] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:26 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:26 JST 2019: send msg: [addAction:say:マテリアルのところを:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:26 JST 2019: send msg: [addAction:requestMessage:am;162326984] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:29 JST 2019: send msg: [162326984] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:29 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:29 JST 2019: send msg: [addAction:requestMessage:am;162329171] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:29 JST 2019: send msg: [addAction:say:K10ホワイトゴールドにして検索ボタンを押してね] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:33 JST 2019: send msg: [162329171] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:33 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:33 JST 2019: send msg: [addAction:say:K10ホワイトゴールドだね、何がいいの?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:33 JST 2019: send msg: [addAction:requestMessage:am;162333444] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:37 JST 2019: send msg: [162333444] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:37 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:37 JST 2019: send msg: [addAction:say:ホワイトは上品な感じをだしつつ、どんなファッションにも合わせやすいんだ] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:37 JST 2019: send msg: [addAction:requestMessage:am;162337869] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:43 JST 2019: send msg: [162337869] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:43 JST 2019: send msg: [addAction:say:なるほどなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:43 JST 2019: send msg: [addAction:requestMessage:am;162343362] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:45 JST 2019: send msg: [162343362] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:45 JST 2019: send msg: [addAction:say:コーティングされていて、長く使っても変色しにくいんだ] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:45 JST 2019: send msg: [addAction:requestMessage:am;162345143] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:49 JST 2019: send msg: [162345143] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:49 JST 2019: send msg: [addAction:say:K10ホワイトゴールド、だね、探してみるよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:49 JST 2019: send msg: [addAction:requestMessage:am;162349313] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:54 JST 2019: send msg: [162349313] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:26:40 JST 2019: send msg: [cute] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 16:26:40 JST 2019: send msg: [cute] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:26:40 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:26:40 JST 2019: send msg: [addAction:say:キュートなデザインだね] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:26:40 JST 2019: send msg: [addAction:requestMessage:am;162640762] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:26:49 JST 2019: disconnect with: 'pp' (/100.80.194.226,196)
Fri Nov 08 16:26:59 JST 2019: disconnect with: 'sota' (/100.80.194.247,117)
Fri Nov 08 16:30:42 JST 2019: Connect with /100.80.194.247, ID: 245
Fri Nov 08 16:30:42 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:245)
Fri Nov 08 16:30:56 JST 2019: Connect with /100.80.194.226, ID: 248
