Tue Dec 17 23:15:46 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Tue Dec 17 23:15:46 JST 2019: Connect with /100.80.194.248, ID: 10
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:requestMessage:am;233144444] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:44 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:44 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:requestMessage:am;233144566] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:requestMessage:am;233144591] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:48 JST 2019: send msg: [233144444] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:50 JST 2019: send msg: [233144566] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:54 JST 2019: send msg: [233144591] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:57 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:227)
Tue Dec 17 23:31:57 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:57 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:57 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:31:57 JST 2019: send msg: [addAction:requestMessage:am;233157228] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:32:00 JST 2019: send msg: [233157228] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:32:00 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:182)
Tue Dec 17 23:32:00 JST 2019: send msg: [addAction:say:じょうひんだし、かわいさがあるデザインだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:182)
Tue Dec 17 23:32:00 JST 2019: send msg: [addAction:requestMessage:am;23320178] to 'sota2' (/100.80.194.248, ID:182)
Tue Dec 17 23:32:04 JST 2019: send msg: [23320178] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:32:04 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:32:04 JST 2019: send msg: [addAction:requestMessage:am;23324857] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:32:04 JST 2019: send msg: [addAction:say:やっぱり、長いものは動きがあって華やかだね] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:32:09 JST 2019: send msg: [23324857] to 'am' (/100.80.194.226, ID:225)
