Fri Jan 31 21:42:14 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Fri Jan 31 21:42:14 JST 2020: Connect with /100.80.194.162, ID: 10
Fri Jan 31 21:48:14 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:14 JST 2020: send msg: [25_2] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:14 JST 2020: send msg: [addAction:say:僕がかなり気に入っているイヤリングあるんだけど、言ってもいい?] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:14 JST 2020: send msg: [addAction:requestMessage:am;214814829] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:19 JST 2020: send msg: [214814829] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:19 JST 2020: send msg: [addAction:say:何番、何番?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:19 JST 2020: send msg: [addAction:requestMessage:am;214819319] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:21 JST 2020: send msg: [214819319] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:21 JST 2020: send msg: [addAction:say:25番、長いデザインと素材のシルバーがすごくいいね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:21 JST 2020: send msg: [addAction:requestMessage:am;214821514] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:26 JST 2020: send msg: [214821514] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:26 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:26 JST 2020: send msg: [addAction:requestMessage:am;214826193] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:26 JST 2020: send msg: [addAction:say:シルバーの輝きで、女性の肌をきれいに見せる効果がきたいできるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:32 JST 2020: send msg: [214826193] to 'am' (/127.0.0.1, ID:16)
